,Name,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,1,0,38.0,1,0,PC 17599,71.2833,C85,C
1,"McCarthy, Mr. Timothy J",0,1,1,54.0,0,0,17463,51.8625,E46,S
2,"Sandstrom, Miss. Marguerite Rut",1,3,0,4.0,1,1,PP 9549,16.7,G6,S
3,"Bonnell, Miss. Elizabeth",1,1,0,58.0,0,0,113783,26.55,C103,S
4,"Beesley, Mr. Lawrence",1,2,1,34.0,0,0,248698,13.0,D56,S
5,"Sloper, Mr. William Thompson",1,1,1,28.0,0,0,113788,35.5,A6,S
6,"Fortune, Mr. Charles Alexander",0,1,1,19.0,3,2,19950,263.0,C23 C25 C27,S
7,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,1,0,49.0,1,0,PC 17572,76.7292,D33,C
8,"Ostby, Mr. Engelhart Cornelius",0,1,1,65.0,0,1,113509,61.9792,B30,C
9,"Harris, Mr. Henry Birkhardt",0,1,1,45.0,1,0,36973,83.475,C83,S
10,"Nye, Mrs. (Elizabeth Ramell)",1,2,0,29.0,0,0,C.A. 29395,10.5,F33,S
11,"Moen, Mr. Sigurd Hansen",0,3,1,25.0,0,0,348123,7.65,F G73,S
12,"Fortune, Miss. Mabel Helen",1,1,0,23.0,3,2,19950,263.0,C23 C25 C27,S
13,"Chaffee, Mr. Herbert Fuller",0,1,1,46.0,1,0,W.E.P. 5734,61.175,E31,S
14,"Goldschmidt, Mr. George B",0,1,1,71.0,0,0,PC 17754,34.6542,A5,C
15,"Greenfield, Mr. William Bertram",1,1,1,23.0,0,1,PC 17759,63.3583,D10 D12,C
16,"White, Mr. Richard Frasar",0,1,1,21.0,0,1,35281,77.2875,D26,S
17,"Porter, Mr. Walter Chamberlain",0,1,1,47.0,0,0,110465,52.0,C110,S
18,"Baxter, Mr. Quigg Edmond",0,1,1,24.0,0,1,PC 17558,247.5208,B58 B60,C
19,"Webber, Miss. Susan",1,2,0,32.5,0,0,27267,13.0,E101,S
20,"White, Mr. Percival Wayland",0,1,1,54.0,0,1,35281,77.2875,D26,S
21,"Newsom, Miss. Helen Monypeny",1,1,0,19.0,0,2,11752,26.2833,D47,S
22,"Futrelle, Mr. Jacques Heath",0,1,1,37.0,1,0,113803,53.1,C123,S
23,"Giglio, Mr. Victor",0,1,1,24.0,0,0,PC 17593,79.2,B86,C
24,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,2,1,36.5,0,2,230080,26.0,F2,S
25,"Pears, Mrs. Thomas (Edith Wearne)",1,1,0,22.0,1,0,113776,66.6,C2,S
26,"Van der hoef, Mr. Wyckoff",0,1,1,61.0,0,0,111240,33.5,B19,S
27,"Smith, Mr. James Clinch",0,1,1,56.0,0,0,17764,30.6958,A7,C
28,"Isham, Miss. Ann Elizabeth",0,1,0,50.0,0,0,PC 17595,28.7125,C49,C
29,"Becker, Master. Richard F",1,2,1,1.0,2,1,230136,39.0,F4,S
30,"Navratil, Master. Michel M",1,2,1,3.0,1,1,230080,26.0,F2,S
31,"Brown, Mrs. James Joseph (Margaret Tobin)",1,1,0,44.0,0,0,PC 17610,27.7208,B4,C
32,"Lurette, Miss. Elise",1,1,0,58.0,0,0,PC 17569,146.5208,B80,C
33,"Strom, Miss. Telma Matilda",0,3,0,2.0,0,1,347054,10.4625,G6,S
34,"Blank, Mr. Henry",1,1,1,40.0,0,0,112277,31.0,A31,C
35,"Newell, Miss. Madeleine",1,1,0,31.0,1,0,35273,113.275,D36,C
36,"Bazzani, Miss. Albina",1,1,0,32.0,0,0,11813,76.2917,D15,C
37,"Hoyt, Mr. Frederick Maxfield",1,1,1,38.0,1,0,19943,90.0,C93,S
38,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,1,0,35.0,1,0,36973,83.475,C83,S
39,"Minahan, Dr. William Edward",0,1,1,44.0,2,0,19928,90.0,C78,Q
40,"Beckwith, Mr. Richard Leonard",1,1,1,37.0,1,1,11751,52.5542,D35,S
41,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0,3,0,29.0,1,1,347054,10.4625,G6,S
42,"Stead, Mr. William Thomas",0,1,1,62.0,0,0,113514,26.55,C87,S
43,"Cherry, Miss. Gladys",1,1,0,30.0,0,0,110152,86.5,B77,S
44,"Taussig, Mr. Emil",0,1,1,52.0,1,1,110413,79.65,E67,S
45,"Harrison, Mr. William",0,1,1,40.0,0,0,112059,0.0,B94,S
46,"Graham, Mrs. William Thompson (Edith Junkins)",1,1,0,58.0,0,1,PC 17582,153.4625,C125,S
47,"Bissette, Miss. Amelia",1,1,0,35.0,0,0,PC 17760,135.6333,C99,S
48,"Natsch, Mr. Charles H",0,1,1,37.0,0,1,PC 17596,29.7,C118,C
49,"Andrews, Miss. Kornelia Theodosia",1,1,0,63.0,1,0,13502,77.9583,D7,S
50,"Bishop, Mrs. Dickinson H (Helen Walton)",1,1,0,19.0,1,0,11967,91.0792,B49,C
51,"Levy, Mr. Rene Jacques",0,2,1,36.0,0,0,SC/Paris 2163,12.875,D,C
52,"Allison, Miss. Helen Loraine",0,1,0,2.0,1,2,113781,151.55,C22 C26,S
53,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,1,0,50.0,0,1,PC 17558,247.5208,B58 B60,C
54,"Allison, Master. Hudson Trevor",1,1,1,0.92,1,2,113781,151.55,C22 C26,S
55,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,1,0,17.0,1,0,PC 17758,108.9,C65,C
56,"Francatelli, Miss. Laura Mabel",1,1,0,30.0,0,0,PC 17485,56.9292,E36,C
57,"Hays, Miss. Margaret Bechstein",1,1,0,24.0,0,0,11767,83.1583,C54,C
58,"Ryerson, Miss. Emily Borie",1,1,0,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C
59,"Wick, Miss. Mary Natalie",1,1,0,31.0,0,2,36928,164.8667,C7,S
60,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,1,0,40.0,1,1,16966,134.5,E34,C
61,"Young, Miss. Marie Grice",1,1,0,36.0,0,0,PC 17760,135.6333,C32,C
62,"Ball, Mrs. (Ada E Hall)",1,2,0,36.0,0,0,28551,13.0,D,S
63,"Hippach, Miss. Jean Gertrude",1,1,0,16.0,0,1,111361,57.9792,B18,C
64,"Partner, Mr. Austen",0,1,1,45.5,0,0,113043,28.5,C124,S
65,"Graham, Mr. George Edward",0,1,1,38.0,0,1,PC 17582,153.4625,C91,S
66,"Pears, Mr. Thomas Clinton",0,1,1,29.0,1,0,113776,66.6,C2,S
67,"Burns, Miss. Elizabeth Margaret",1,1,0,41.0,0,0,16966,134.5,E40,C
68,"Blackwell, Mr. Stephen Weart",0,1,1,45.0,0,0,113784,35.5,T,S
69,"Navratil, Master. Edmond Roger",1,2,1,2.0,1,1,230080,26.0,F2,S
70,"Fortune, Miss. Alice Elizabeth",1,1,0,24.0,3,2,19950,263.0,C23 C25 C27,S
71,"Brown, Miss. Amelia ""Mildred""",1,2,0,24.0,0,0,248733,13.0,F33,S
72,"Bowerman, Miss. Elsie Edith",1,1,0,22.0,0,1,113505,55.0,E33,S
73,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,1,0,60.0,1,0,110813,75.25,D37,C
74,"Aubart, Mme. Leontine Pauline",1,1,0,24.0,0,0,PC 17477,69.3,B35,C
75,"Harder, Mr. George Achilles",1,1,1,25.0,1,0,11765,55.4417,E50,C
76,"Widener, Mr. Harry Elkins",0,1,1,27.0,0,2,113503,211.5,C82,C
77,"Carter, Mr. William Ernest",1,1,1,36.0,1,2,113760,120.0,B96 B98,S
78,"Newell, Miss. Marjorie",1,1,0,23.0,1,0,35273,113.275,D36,C
79,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",1,3,0,24.0,0,2,PP 9549,16.7,G6,S
80,"Minahan, Miss. Daisy E",1,1,0,33.0,1,0,19928,90.0,C78,Q
81,"Pickard, Mr. Berk (Berk Trembisky)",1,3,1,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S
82,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,1,1,28.0,0,0,110564,26.55,C52,S
83,"Silvey, Mr. William Baird",0,1,1,50.0,1,0,13507,55.9,E44,S
84,"Carter, Miss. Lucile Polk",1,1,0,14.0,1,2,113760,120.0,B96 B98,S
